-0.996315419359773 -0.405996164691916 0.986129320569229 0.986673674304780,-0.836981918533477 -1.00000000000000 -0.142628933705512 -0.152803998597669,-0.0857647080445138 -0.366917405288268 0.0848878694732058 0.0559106291009975,31.0564,10.8064,18.7514
-0.965925826289068 -0.534900416930173 0.942663204665037 0.931968210770955,-0.619296651062281 -1.00000000000000 -0.218143241396543 -0.236911267990377,0.258819045102521 -0.574763605276961 -0.252585844424531 -0.274423587199746,32.7736,1.5266,17.5098
-0.943280616635189 -0.661695136314832 0.943230605601008 0.934786323746475,-0.472526082458303 -1.00000000000000 0.0102972606021891 -0.00805286744177779,0.331996503415830 -0.582132843923022 -0.331978901560997 -0.355119247947103,36.8416,0.0962,18.1684
-0.996565502497761 -0.542339640600893 0.980661012328124 0.974199810929063,-0.686201652365400 -1.00000000000000 -0.177943545473842 -0.204366885332835,0.0828082075122044 -0.484762835336919 -0.0814866462911484 -0.0957543971059993,35.3748,3.4397,19.4315
-0.936243631273849 -0.647916533636481 0.936231638802637 0.927314489928084,-0.452011099310573 -1.00000000000000 -0.00506143321981194 -0.0243954229480954,0.351351480570605 -0.613098794274246 -0.351346980062003 -0.373487215455364,36.151,-0.4902,18.4745
-0.928874213198540 -0.703715669274937 0.928862315123200 0.919676765148239,-0.387665733700061 -1.00000000000000 0.00506143321981206 -0.0142773320148811,0.370395324018531 -0.595398635984095 -0.370390579574764 -0.392416622274093,37.7849,-2.8871,17.4157
-0.926987583925750 -0.716097681141066 0.926938436718728 0.917735389860926,-0.382908693087785 -1.00000000000000 0.0102972606021891 -0.00904319714942799,0.375092014374474 -0.583596644800322 -0.375072127673506 -0.397089378833194,38.5763,-2.995,17.2159
-0.968539741803012 -0.526293222344156 0.939524087083948 0.928592852772903,-0.641438727557230 -1.00000000000000 -0.242937854073939 -0.261580582813804,0.248858933028644 -0.558186172261878 -0.241403580849629 -0.263231670727275,32.4435,1.6519,17.1536
-0.982903228611439 -0.808785107614406 0.809355522340412 0.797952729263375,-0.577789177525319 -1.00000000000000 -0.567412674039288 -0.575541214776064,0.184122902391879 -0.109664561439733 -0.151612980304008 -0.178951814618415,39.3959,-11.6263,5.5896
-0.999122830098858 -0.551080755360788 0.991611629431569 0.987179767742427,-0.662815605328364 -1.00000000000000 -0.122389022625539 -0.150599743673590,0.0418756537291997 -0.506937347612283 -0.0415608411468441 -0.0528755460062363,34.635,4.2753,21.276
