-0.928874213198540 -0.212881353983853 0 0.914874910568257 0.935212278585880 1 0 0,0 -0.356541045990060 -1.00000000000000 -0.172960609894204 -0.137415596288866 0 1 0,0.370395324018531 -0.909703254721184 0 -0.364813000642450 -0.326335636850744 0 0 1,21.5303,-8.0748,16.4199
-0.883847285787029 -0.269770169900570 0 0.862561381193628 0.887234687515148 1 0 0,0 -0.735236945014744 -1.00000000000000 -0.218143241396543 -0.168920924214534 0 1 0,0.467775560933768 -0.621812423579012 0 -0.456510010740564 -0.429278849505080 0 0 1,22.4994,1.3003,5.5082
-0.923076016496914 -0.694379320149111 0 0.896545928038373 0.919597234481337 1 0 0,0 -0.372401920162186 -1.00000000000000 -0.238024940184262 -0.189173750473553 0 1 0,0.384617560400183 -0.615754959061456 0 -0.373563283484996 -0.344317031913972 0 0 1,32.1533,-12.017,11.3479
-0.981958712696444 -0.793434316312800 0 0.969653743067762 0.964681771384166 1 0 0,0 -0.587284975737582 -1.00000000000000 0.157813385185794 0.211414618977074 0 1 0,0.189095442989892 -0.159869768781176 0 -0.186725879328174 -0.157139870312682 0 0 1,36.9148,0.5596,3.8976
-0.989626327559484 -0.749632206986740 0 0.766250054411568 0.800927470274271 1 0 0,0 -0.551779081632007 -1.00000000000000 -0.632840475938601 -0.593491681009159 0 1 0,0.143665346556254 -0.365501572255891 0 -0.111237521224060 -0.0792641907356580 0 0 1,31.2253,-17.9004,10.7377
-0.967223448927410 -0.763631906475951 0 0.758216357329772 0.795678120711197 1 0 0,0 -0.508861711038508 -1.00000000000000 -0.620874181818246 -0.581073514543838 0 1 0,0.253926760789337 -0.397399132423395 0 -0.199055785721226 -0.171026018246258 0 0 1,31.2701,-18.8,9.7207
-0.801984205922701 -0.653165245821142 0 0.794353694757944 0.820170656525994 1 0 0,0 -0.618640343920804 -1.00000000000000 -0.137617420456926 -0.0885488867071726 0 1 0,0.597345238074712 -0.436645492963063 0 -0.591661772646488 -0.565224901111619 0 0 1,30.4028,-2.7667,-1.0031
-0.897797101060790 -0.796103847359077 0 0.895812867223638 0.914070726220208 1 0 0,0 -0.380173074601432 -1.00000000000000 -0.0664480485987361 -0.0188891889552768 0 1 0,0.440409315667643 -0.470836593276446 0 -0.439435960924893 -0.405114682538011 0 0 1,34.8111,-8.2318,5.5841
-0.930737046320651 -0.702747433231153 0 0.902853890261399 0.925375000193355 1 0 0,0 -0.535229769151590 -1.00000000000000 -0.242937854073939 -0.193609469824939 0 1 0,0.365689144775054 -0.468695145378061 0 -0.354733776088221 -0.325878017379594 0 0 1,33.2697,-7.8532,7.2362
-0.902209248913282 -0.748772682795444 0 0.782279206052328 0.818747822472462 1 0 0,0 -0.484993890063880 -1.00000000000000 -0.498185105339491 -0.454517937880022 0 1 0,0.431298587031457 -0.451796852689367 0 -0.373966368268619 -0.350806851902715 0 0 1,31.7153,-15.6329,6.3493
-0.985615113141945 -0.616696518191768 0 0.939583099365490 0.953589150818606 1 0 0,0 -0.766137992295402 -1.00000000000000 -0.302037146024729 -0.279712623337897 0 1 0,0.169005469574779 0.180881124531336 0 -0.161112264610660 -0.111483540428540 0 0 1,33.9184,-4.5537,-2.7802
-0.998986343599654 -0.738902481734889 0 0.906124583320983 0.910769153541006 1 0 0,0 -0.567480132027481 -1.00000000000000 -0.421035813367491 -0.400948094442666 0 1 0,-0.0450142788611964 -0.363303485037090 0 0.0408299321986950 0.0986923225027885 0 0 1,33.1743,-12.5696,15.4747
-0.967223448927410 -0.676218819863613 0 0.962169065560146 0.975119644093358 1 0 0,0 -0.644520595527732 -1.00000000000000 -0.102098078224237 -0.0556154713557592 0 1 0,0.253926760789337 -0.356821117092080 0 -0.252599825221698 -0.214589373103887 0 0 1,33.8694,-1.9352,7.1902
-0.999122830098858 -0.866625370560424 0 0.996914654861257 0.993931122634830 1 0 0,0 -0.431266459937427 -1.00000000000000 0.0664480485987362 0.109994819561724 0 1 0,0.0418756537291997 -0.250937656867295 0 -0.0417831037655341 0.00143635909537718 0 0 1,38.2484,-5.3965,10.496
-0.874111536221195 -0.803244435405309 0 0.794710251646883 0.828937800163590 1 0 0,0 -0.520001302055428 -1.00000000000000 -0.416439477557085 -0.370852293071873 0 1 0,0.485725253867887 -0.290511656996869 0 -0.441603642941642 -0.418725089030119 0 0 1,33.5928,-12.7633,-0.4688
-0.989626327559484 -0.559418021176025 0 0.913898419666134 0.936145155278358 1 0 0,0 -0.763903468552150 -1.00000000000000 -0.383650706742656 -0.337419977323444 0 1 0,0.143665346556254 -0.321718772093726 0 -0.132671827256593 -0.0988939186800965 0 0 1,30.312,-4.7653,8.1288
-0.995193276491914 -0.657960825618578 0 0.993315772375651 0.997192061322697 1 0 0,0 -0.528450734732895 -1.00000000000000 -0.0613969505807154 -0.00457106455073911 0 1 0,0.0979302937057195 -0.536495454697970 0 -0.0977455411215908 -0.0747468942757022 0 0 1,32.4318,-2.8237,16.919
-0.902209248913282 -0.758643201722300 0 0.838388392940272 0.870089471019486 1 0 0,0 -0.382390980032058 -1.00000000000000 -0.369422406302939 -0.338745295344410 0 1 0,0.431298587031457 -0.527482351240931 0 -0.400789206821209 -0.358044602393417 0 0 1,33.0847,-14.6259,7.7246
-0.876558805544014 -0.832553289413424 0 0.832897298286995 0.865281500479924 1 0 0,0 -0.404047913899241 -1.00000000000000 -0.311671636847942 -0.280428280930248 0 1 0,0.481294774980210 -0.378946306962556 0 -0.457321420109259 -0.415509210706233 0 0 1,34.6253,-13.5296,3.4628
-0.999648126594414 -0.657870323592789 0 0.881652059003276 0.895324063643237 1 0 0,0 -0.561647973592644 -1.00000000000000 -0.471319772882119 -0.444757543864072 0 1 0,0.0265258929402460 -0.501755110681691 0 -0.0233948401497449 0.0241981040034047 0 0 1,30.8084,-13.1613,17.2031
-0.999201384214954 -0.601897337515778 0 0.990377750215286 0.993575077824308 1 0 0,0 -0.663459052304668 -1.00000000000000 -0.132602381688062 -0.0835096103699017 0 1 0,-0.0399573996015809 -0.444456613187844 0 0.0396045483393302 0.0763852715010370 0 0 1,31.9301,-2.2589,16.5755
-0.959017781309192 -0.177398075507290 0 0.953498473469930 0.966398587758712 1 0 0,0 -0.726118694895497 -1.00000000000000 -0.107131754313874 -0.0631837737940636 0 1 0,0.283345893093221 -0.664290270687123 0 -0.281715190055747 -0.249161755305881 0 0 1,22.0886,3.6271,10.7212
-0.994666875152874 -0.481430376759129 0 0.979675994360055 0.989648549488975 1 0 0,0 -0.637585293603500 -1.00000000000000 -0.172960609894204 -0.114128689032792 0 1 0,0.103139747302467 -0.601423133670548 0 -0.101585301592616 -0.0870079929318240 0 0 1,29.1271,-2.2878,15.9426
-0.951433341895538 -0.746717432307155 0 0.876769257853461 0.902830386065826 1 0 0,0 -0.477836371744971 -1.00000000000000 -0.388319916157409 -0.334296785242600 0 1 0,0.307854829309998 -0.462693719566424 0 -0.283695807509725 -0.270449539420379 0 0 1,33.3636,-13.0283,8.4882
-0.965925826289068 -0.371326739053077 0 0.956735485946461 0.966845562892219 1 0 0,0 -0.791699712792402 -1.00000000000000 -0.137617420456926 -0.0785221032746726 0 1 0,0.258819045102521 -0.485106192115330 0 -0.256356500829552 -0.242989581696315 0 0 1,27.0979,2.7451,7.753
-0.888617232654949 -0.804315391692620 0 0.792115503939246 0.827572798361082 1 0 0,0 -0.342465934540794 -1.00000000000000 -0.453212777096287 -0.423599017037240 0 1 0,0.458649554484315 -0.485586073076080 0 -0.408841298177845 -0.368357348478204 0 0 1,33.1648,-18.3127,6.2863
-0.910827805970328 -0.0902571390928316 0 0.906527203003628 0.923614107857736 1 0 0,0 -0.862673467583826 -1.00000000000000 -0.0970617865584347 -0.0536224488630931 0 1 0,0.412786516096733 -0.497642579739390 0 -0.410837485880370 -0.379554492456726 0 0 1,20.0342,7.3539,2.4928
-0.981958712696444 -0.753568084814439 0 0.939101880677360 0.958181573983926 1 0 0,0 -0.376247246298772 -1.00000000000000 -0.292204793604068 -0.238269880232772 0 1 0,0.189095442989892 -0.539048375567248 0 -0.180842517962587 -0.158478817043622 0 0 1,34.4057,-13.9721,14.304
-0.956049249417229 -0.659603407461181 0 0.858778699546981 0.888601058527303 1 0 0,0 -0.594537008676885 -1.00000000000000 -0.439468903432369 -0.394375677635588 0 1 0,0.293206126622130 -0.459835938329249 0 -0.263374691495493 -0.234213542891158 0 0 1,31.1396,-11.0048,8.6387
-0.999991942880066 -0.694905449688077 0 0.859310237313024 0.882744638142921 1 0 0,0 -0.594534232559946 -1.00000000000000 -0.511443073003786 -0.468132970553253 0 1 0,-0.00401424649846385 -0.404518803404944 0 0.00344951090435101 0.0401674708055063 0 0 1,31.6329,-12.7183,14.6708
-0.910827805970328 -0.684756648591590 0 0.770482026160094 0.804378419268667 1 0 0,0 -0.568651620015644 -1.00000000000000 -0.533319268710663 -0.482132226684648 0 1 0,0.412786516096733 -0.455789060052124 0 -0.349181908159859 -0.347165485909737 0 0 1,30.3459,-13.5044,4.9649
-0.949862968197320 -0.763153957375975 0 0.865571725185474 0.892904845114451 1 0 0,0 -0.447591756565734 -1.00000000000000 -0.411832473287575 -0.358167849010015 0 1 0,0.312666502278988 -0.466109061053087 0 -0.284920344140746 -0.272830954084535 0 0 1,33.4644,-13.8555,8.6407
-0.981958712696444 -0.600383145937671 0 0.972615826807638 0.983472824860254 1 0 0,0 -0.628781513639593 -1.00000000000000 -0.137617420456926 -0.0832941853402968 0 1 0,0.189095442989892 -0.494139541201762 0 -0.187296286749303 -0.160758456853404 0 0 1,31.0713,-2.471,12.4078
-0.985615113141945 -0.717821425321720 0 0.952297706373559 0.968990939742802 1 0 0,0 -0.399880299828888 -1.00000000000000 -0.257807388214060 -0.203263723358879 0 1 0,0.169005469574779 -0.569936967705950 0 -0.163292464669695 -0.140500595951215 0 0 1,33.85,-12.3318,15.6127
-0.956049249417229 -0.310738092378411 0 0.952848083525303 0.957936638920448 1 0 0,0 -0.722019237383143 -1.00000000000000 0.0817645613444448 0.130723072304081 0 1 0,0.293206126622130 -0.618166691753681 0 -0.292224376516245 -0.255477737153706 0 0 1,25.1723,6.9487,10.0386
-0.883847285787029 -0.217104554730880 0 0.874138986432746 0.898113738383902 1 0 0,0 -0.779821272438410 -1.00000000000000 -0.147809411129611 -0.0955481615425169 0 1 0,0.467775560933768 -0.587149380794739 0 -0.462637450256515 -0.429257803367554 0 0 1,22.3399,4.0976,3.6545
-0.930737046320651 -0.645345568261684 0 0.896756204806542 0.918612655377388 1 0 0,0 -0.758448131387097 -1.00000000000000 -0.267742895148173 -0.223075127492392 0 1 0,0.365689144775054 -0.0910248840725696 0 -0.352337978706018 -0.326172158337829 0 0 1,32.9894,-3.6455,-1.1393
-0.921117476594327 -0.219330882924833 0 0.903792845987511 0.920204573876434 1 0 0,0 -0.658927823723871 -1.00000000000000 -0.193035743749306 -0.135725174049176 0 1 0,0.389284721396178 -0.719519344366735 0 -0.381962947387501 -0.367154217388568 0 0 1,22.1062,-0.1954,9.2856
-0.801984205922701 -0.675648372388898 0 0.749715427760610 0.774650349493584 1 0 0,0 -0.647857638087999 -1.00000000000000 -0.355106962408137 -0.298981758214665 0 1 0,0.597345238074712 -0.351823475139554 0 -0.558413666225131 -0.557249265844591 0 0 1,30.2587,-6.5836,-2.3105
