-0.984747078366713 0.818787271465635 0.824487212740800 0.451270701764772 0.458244562952191 -0.507728750559668 -0.173991929836482 0.547096163793567 0.144591229295797 0.880595327116525 0.120680530266051 0.853022699269969,0.555570233019602 0.555214663029742 0.891092284655274 0.740688485617759 -0.713620745072759 -1.00000000000000 -0.831469612302545 -0.0198736452173623 -0.453386786809694 0.495803377176530 -0.494898417235444,1.00000000000000 0.173991929836482 -0.144669002444912 -0.109350418305912 -0.0480551137401042 0.491317094958059 -0.482656138526093 -0.984747078366713 -0.0966647370027848 0.989291875351508 -0.137812522678170 -0.860008849253920 -0.165613499292868,32.3527,-3.0115,2.1364
-0.963209487490551 0.685948272584671 0.703407842692225 0.210183124543050 0.287634864235060 -0.421379916966396 -0.268751712940011 0.676200772056581 0.219020370534692 0.952813272078096 -0.0970208917105568 0.901679495247109,0.702028770312766 0.700232126300813 0.977657065492328 0.843669291978500 -0.805647953881710 -1.00000000000000 -0.712148583971874 -0.0501932629253809 -0.204125693262345 0.496542875412249 -0.323073594222044,1.00000000000000 0.268751712940011 -0.191391151810244 -0.122034323595095 0.00311712211023858 0.453308185067263 -0.416377641070708 -0.963209487490551 -0.188671434554725 0.974428403551410 -0.224676589572657 -0.862572964710247 -0.287397878501858,26.6393,8.5933,-3.4899
-0.638364873308127 0.268774473658522 0.789333450697736 0.806744654476753 0.698304633464956 -0.535981042193285 0.769733907611130 0.579025037268066 -0.204163439004932 0.554509109615760 0.452648082106298 0.712624751306668,0.907044014291465 0.503926654378945 0.490757666890727 0.707136287501768 -0.794283728029066 -1.00000000000000 -0.421035813367491 0.754179534904269 -0.436314269213775 -0.556406442610675 -0.243977929349322,1.00000000000000 -0.769733907611130 0.324085541867589 -0.350728713703411 -0.329120000700586 -0.111035623921292 0.286072860994624 -0.638364873308127 0.698182533495855 0.624123801264830 0.708625081290231 -0.696793788998455 0.657754311134125,28.5143,2.0039,-6.5296
-0.980989040697711 0.907490601703853 0.926206959277340 0.866123899181527 0.826206753839145 -0.805616661162581 -0.194063139289730 0.372559130592976 0.0577958718078540 0.496476614221212 0.266258091786944 0.529233808269304,0.379779095521801 0.375607550044302 0.499340555745426 0.443280495360581 -0.477620747532421 -1.00000000000000 -0.925077206834458 -0.0561349244684135 -0.864585380192595 0.236631618322877 -0.846099225112792,1.00000000000000 0.194063139289730 -0.179523386843670 -0.0325520650027174 -0.0220997885609145 0.347684918199598 -0.350514217662888 -0.980989040697711 -0.0737011235135750 0.996748969127581 -0.0774796224091680 -0.934404679872630 -0.0634639854429382,33.6938,-20.9231,-0.5943
-0.978938711712464 0.931394929995502 0.917677288026937 -0.356205043369252 -0.414065188283529 -0.616440838228996 -0.204154350212632 0.301371009999190 -0.258928386569711 0.897816271687429 0.149919852404577 0.772997238558148,0.307854829309998 0.271516383529807 0.933312571496594 0.856399925499856 -0.677894087198021 -1.00000000000000 -0.951433341895538 -0.145098068231052 0.328442071729600 0.398377927503281 -0.617862956827929,1.00000000000000 0.204154350212632 -0.194239255685316 0.290081451517363 0.0452284309336925 0.308430198676406 -0.400574961156454 -0.978938711712464 -0.0628499026376033 0.954935935664809 0.293345781989877 -0.904886216456622 -0.143946642063390,32.7747,1.85,2.5592
-0.976144665859002 0.695160041543187 0.728020110305132 0.677161062945554 0.620733053286381 -0.410871897519078 0.217121144329650 0.685281639420361 -0.0193853982328190 0.735579432261263 0.271317849379590 0.870385494155955,0.702028770312766 0.675437950180340 0.724626161588280 0.743604634394201 -0.888754067350723 -1.00000000000000 -0.712148583971874 0.191384350987835 -0.662033953916867 0.0936119200137818 -0.448723763800046,1.00000000000000 -0.217121144329650 0.154622515484713 -0.117346897903113 -0.127944600402996 0.248480631569615 -0.203225223819827 -0.976144665859002 0.152425289962645 0.981323716483159 0.143645197258375 -0.957926632388602 0.202672334974495,25.4865,3.4381,-0.2583
-0.954552960023640 0.549690491239868 0.612151235081381 0.490077996166523 0.502193156937749 -0.346297054517670 -0.298041350336003 0.780392027977199 0.127511364426765 0.862301808890269 0.0650970314950483 0.935863626028343,0.817547124842473 0.783065026770232 0.859581512434432 0.709266042335769 -0.776781366625165 -1.00000000000000 -0.575861700985407 -0.234930766796370 -0.453791976894043 0.539457619184261 -0.324955667080896,1.00000000000000 0.298041350336003 -0.171630598968478 0.109909186320691 0.144717591032810 0.494715791454298 -0.526012412872859 -0.954552960023640 -0.243662849051367 0.963612155773522 -0.224740810915966 -0.839492616760017 -0.136246423472659,26.3648,5.2559,3.3663
-0.378971668860393 0.348612232951497 0.985697356289509 0.0888643882285635 0.117672045161956 -0.906945984151563 -0.925408274331481 -0.148623809786328 0.0794461136146446 0.992870301467564 0.0190224670090510 0.420817213978043,-0.392176571492152 -0.167290265920281 0.928309411867183 0.860036324260042 -0.356396344121911 -1.00000000000000 -0.919889959056333 0.354706118012730 -0.111468406659215 0.497907938549017 -0.790613262364353,1.00000000000000 0.925408274331481 -0.851273779585177 -0.0203639075865895 -0.361032902023580 0.496478409138483 -0.224567646217992 -0.378971668860393 0.362923444257789 0.931596417380331 -0.0422298328266143 -0.867021239923658 -0.444796067646009,34.9834,-13.6954,-2.2392
-0.971507769145885 0.698844204684849 0.728127927309313 -0.0454842052370650 -0.0816238068328302 -0.451529353917472 0.237007709767394 0.674866003803136 -0.119939978251746 0.991738669555102 0.0989543605264250 0.886752094490719,0.694658370458997 0.685370171895310 0.991806329124011 0.975563551512415 -0.861198185616013 -1.00000000000000 -0.719339800338651 0.113216514364925 0.0591796112238854 0.211597567509350 -0.462130019059370,1.00000000000000 -0.237007709767394 0.170489078622798 0.00987162339425596 -0.119379196611077 0.203993409497957 -0.233364366694142 -0.971507769145885 0.164639389453237 0.986304426884533 0.113807666369479 -0.972334563798352 -0.0103231972038556,28.9662,10.2543,-2.7368
-0.596505074800521 0.521411967297622 0.955461231706467 0.150685155765164 0.145949735665836 -0.428769236249475 -0.802609304541895 0.289737578890966 -0.0560889479698220 0.986989368609240 0.0674585866395497 0.900891936435573,0.485725253867887 0.240288504519064 0.892267605039534 0.857338158219410 -0.772752793874154 -1.00000000000000 -0.874111536221195 -0.422126114853150 -0.160212559295457 0.489186281803721 -0.404413032993176,1.00000000000000 0.802609304541895 -0.701570052178541 0.171333794979133 0.425620141474817 0.493629372221733 -0.467985108316205 -0.596505074800521 -0.389847608205340 0.904800294581420 -0.0135617880949702 -0.869566628145104 -0.157619217136188,22.9627,5.9239,-0.7035
